,ticker,xly,xlp,xle,xlf,xlv,xli,xlb,xlre,xlk,xlu
464,JBLU,False,False,False,False,False,True,False,False,False,False
465,JCI,False,False,False,False,False,True,False,False,False,False
466,JEC,False,False,False,False,False,True,False,False,False,False
467,JKHY,False,False,False,False,False,False,False,False,True,False
468,JLL,False,False,False,True,False,False,False,False,False,False
469,JNJ,False,False,False,False,True,False,False,False,False,False
470,JNPR,False,False,False,False,False,False,False,False,True,False
471,JPM,False,False,False,True,False,False,False,False,False,False
472,JUNO,False,False,False,False,True,False,False,False,False,False
473,JW.A,False,True,False,False,False,False,False,False,False,False
474,JWN,True,False,False,False,False,False,False,False,False,False
475,K,False,True,False,False,False,False,False,False,False,False
476,KAR,True,False,False,False,False,False,False,False,False,False
477,KEX,True,False,False,False,False,False,False,False,False,False
478,KEY,False,False,False,True,False,False,False,False,False,False
479,KEYS,False,True,False,False,False,False,False,False,False,False
480,KHC,False,True,False,False,False,False,False,False,False,False
481,KIM,False,False,False,False,False,False,False,True,False,False
482,KLAC,False,False,False,False,False,False,False,False,True,False
483,KMB,True,False,False,False,False,False,False,False,False,False
484,KMI,False,False,True,False,False,False,False,False,False,False
485,KMX,True,False,False,False,False,False,False,False,False,False
486,KO,False,True,False,False,False,False,False,False,False,False
487,KORS,True,False,False,False,False,False,False,False,False,False
488,KOS,False,False,True,False,False,False,False,False,False,False
489,KR,True,False,False,False,False,False,False,False,False,False
490,KRC,True,False,False,False,False,False,False,False,False,False
491,KSS,True,False,False,False,False,False,False,False,False,False
492,KSU,False,False,False,False,False,True,False,False,False,False
493,L,False,False,False,True,False,False,False,False,False,False
494,LAMR,True,False,False,False,False,False,False,False,False,False
495,LAZ,False,False,False,True,False,False,False,False,False,False
496,LB,True,False,False,False,False,False,False,False,False,False
497,LBRDA,True,False,False,False,False,False,False,False,False,False
498,LBRDK,True,False,False,False,False,False,False,False,False,False
499,LDOS,False,False,False,False,False,False,False,False,True,False
500,LEA,False,True,False,False,False,False,False,False,False,False
501,LECO,False,False,False,False,False,False,False,False,True,False
